"labID","age","error","depth","cc"
528856,2010,1,0.25,1
528859,2008,2,0.75,1
528857,2005,2,1.25,1
528860,2002,2,1.75,1
528861,1998,2,2.25,1
528863,1993,3,2.75,1
528865,1988,4,3.25,1
528864,1983,4,3.75,1
528862,1979,4,4.25,1
528866,1974,5,4.75,1
528867,1969,5,5.25,1
528868,1965,5,5.75,1
528869,1960,6,6.25,1
528870,1955,6,6.75,1
528872,1950,7,7.25,1
528871,1942,8,8,1
528874,1934,9,8.75,1
528873,1928,10,9.25,1
528875,1922,11,9.75,1
528877,1917,11,10.25,1
528878,1665,30,10.75,1
528879,1904,13,11.25,1
528880,1898,14,11.75,1
528881,2130,35,15.75,1
528882,1735,25,20.75,1
528883,2660,30,25.75,1
